timestamp,event_type,slot,gate,duration_seconds,fee,message
2026-03-17 15:34:29,led_changed,,,,,LED turned off
2026-03-17 15:34:29,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:34:30,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:34:36,heartbeat,,,,,Heartbeat
2026-03-17 15:34:47,heartbeat,,,,,Heartbeat
2026-03-17 15:34:57,heartbeat,,,,,Heartbeat
2026-03-17 15:35:07,heartbeat,,,,,Heartbeat
2026-03-17 15:35:35,led_changed,,,,,LED turned off
2026-03-17 15:35:35,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:35:35,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:35:37,heartbeat,,,,,Heartbeat
2026-03-17 15:35:48,heartbeat,,,,,Heartbeat
2026-03-17 15:35:58,heartbeat,,,,,Heartbeat
2026-03-17 15:36:08,heartbeat,,,,,Heartbeat
2026-03-17 15:36:18,heartbeat,,,,,Heartbeat
2026-03-17 15:36:29,heartbeat,,,,,Heartbeat
2026-03-17 15:36:39,heartbeat,,,,,Heartbeat
2026-03-17 15:36:59,heartbeat,,,,,Heartbeat
2026-03-17 15:37:09,heartbeat,,,,,Heartbeat
2026-03-17 15:37:20,heartbeat,,,,,Heartbeat
2026-03-17 15:37:30,heartbeat,,,,,Heartbeat
2026-03-17 15:37:39,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 15:37:40,heartbeat,,,,,Heartbeat
2026-03-17 15:37:44,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:37:50,heartbeat,,,,,Heartbeat
2026-03-17 15:37:54,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 15:38:00,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:38:01,heartbeat,,,,,Heartbeat
2026-03-17 15:38:07,led_changed,,,,,LED turned on
2026-03-17 15:38:10,led_changed,,,,,LED turned on
2026-03-17 15:38:11,led_changed,,,,,LED turned off
2026-03-17 15:38:11,heartbeat,,,,,Heartbeat
2026-03-17 15:38:22,heartbeat,,,,,Heartbeat
2026-03-17 15:38:32,heartbeat,,,,,Heartbeat
2026-03-17 15:38:42,heartbeat,,,,,Heartbeat
2026-03-17 15:38:52,heartbeat,,,,,Heartbeat
2026-03-17 15:39:02,heartbeat,,,,,Heartbeat
2026-03-17 15:39:14,led_changed,,,,,LED turned off
2026-03-17 15:39:14,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:39:15,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:39:22,heartbeat,,,,,Heartbeat
2026-03-17 15:39:33,heartbeat,,,,,Heartbeat
2026-03-17 15:39:43,heartbeat,,,,,Heartbeat
2026-03-17 15:39:53,heartbeat,,,,,Heartbeat
2026-03-17 15:40:03,heartbeat,,,,,Heartbeat
2026-03-17 15:40:13,heartbeat,,,,,Heartbeat
2026-03-17 15:40:17,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 15:40:20,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 15:40:21,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 15:40:24,heartbeat,,,,,Heartbeat
2026-03-17 15:40:27,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 15:40:30,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 15:40:31,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 15:40:34,exit_gate_closed,,exit,,,Exit gate closed
